[Objective_value_file]
report.type: objective_function
obs->cpue_ll_jpn_81: 39501.4
obs->cpue_ll_jpn_82: 46181.9
obs->cpue_ll_jpn_83: 29256.2
obs->cpue_ll_jpn_84: 24597.9
obs->cpue_ll_jpn_85: 34097.9
obs->cpue_ll_jpn_86: 28811.1
obs->cpue_ll_jpn_87: 32263
obs->cpue_ll_jpn_88: 35620
obs->cpue_ll_jpn_89: 41648
obs->cpue_ll_jpn_90: 36418.2
obs->cpue_ll_jpn_91: 37319.3
obs->cpue_ll_jpn_92: 35541.5
obs->cpue_ll_jpn_93: 32673.5
obs->cpue_ll_jpn_94: 31714.1
obs->cpue_ll_jpn_95: 41936
obs->cpue_ll_jpn_96: 33346.3
obs->cpue_ll_jpn_97: 35822.9
obs->cpue_ll_jpn_98: 20711.2
obs->cpue_ll_jpn_99: 25604.5
obs->cpue_ll_jpn_100: 14225.6
obs->cpue_ll_jpn_101: 16404
obs->cpue_ll_jpn_102: 10360.4
obs->cpue_ll_jpn_103: 20667.6
obs->cpue_ll_jpn_104: 19865.7
obs->cpue_ll_jpn_105: 21904.6
obs->cpue_ll_jpn_106: 23741.8
obs->cpue_ll_jpn_107: 25694.8
obs->cpue_ll_jpn_108: 22593
obs->cpue_ll_jpn_109: 25721.7
obs->cpue_ll_jpn_110: 25498
obs->cpue_ll_jpn_111: 22333.4
obs->cpue_ll_jpn_112: 13727.3
obs->cpue_ll_jpn_113: 21286.7
obs->cpue_ll_jpn_114: 21550.3
obs->cpue_ll_jpn_115: 17938
obs->cpue_ll_jpn_116: 21292
obs->cpue_ll_jpn_117: 26836.4
obs->cpue_ll_jpn_118: 16931.1
obs->cpue_ll_jpn_119: 29509.3
obs->cpue_ll_jpn_120: 26510.6
obs->cpue_ll_jpn_121: 27008.6
obs->cpue_ll_jpn_122: 23066.4
obs->cpue_ll_jpn_123: 24045.5
obs->cpue_ll_jpn_124: 29916.2
obs->cpue_ll_jpn_125: 29067
obs->cpue_ll_jpn_126: 22636.3
obs->cpue_ll_jpn_127: 24033.2
obs->cpue_ll_jpn_128: 19709.7
obs->cpue_ll_jpn_129: 32786
obs->cpue_ll_jpn_130: 20286.8
obs->cpue_ll_jpn_131: 21590.7
obs->cpue_ll_jpn_132: 18968.4
obs->cpue_ll_jpn_133: 30935
obs->cpue_ll_jpn_134: 25969.4
obs->cpue_ll_jpn_135: 25008
obs->cpue_ll_jpn_136: 19646.7
obs->cpue_ll_jpn_137: 40326.9
obs->cpue_ll_jpn_138: 25157.2
obs->cpue_ll_jpn_139: 25012.6
obs->cpue_ll_jpn_140: 26778.1
obs->cpue_ll_jpn_141: 36388.7
obs->cpue_ll_jpn_142: 18426.7
obs->cpue_ll_jpn_143: 17121.3
obs->cpue_ll_jpn_144: 31663.4
obs->cpue_ll_jpn_145: 31670.1
obs->cpue_ll_jpn_146: 19845.5
